"filename", "language", "TypeScript", "JSON", "JSON with Comments", "YAML", "HTML", "Markdown", "Python", "pip requirements", "JavaScript", "Rust", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\Ryan\Documents\SpEd Packet Studio\package.json", "JSON", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\Ryan\Documents\SpEd Packet Studio\pnpm-lock.yaml", "YAML", 0, 0, 0, 1256, 0, 0, 0, 0, 0, 0, 0, 0, 0, 340, 1596
"c:\Users\Ryan\Documents\SpEd Packet Studio\pnpm-workspace.yaml", "YAML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Ryan\Documents\SpEd Packet Studio\scripts\dev.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 3, 36
"c:\Users\Ryan\Documents\SpEd Packet Studio\src-tauri\build.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\Ryan\Documents\SpEd Packet Studio\src-tauri\capabilities\default.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Ryan\Documents\SpEd Packet Studio\src-tauri\gen\schemas\acl-manifests.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Ryan\Documents\SpEd Packet Studio\src-tauri\gen\schemas\capabilities.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Ryan\Documents\SpEd Packet Studio\src-tauri\gen\schemas\desktop-schema.json", "JSON", 0, 2292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2292
"c:\Users\Ryan\Documents\SpEd Packet Studio\src-tauri\gen\schemas\windows-schema.json", "JSON", 0, 2292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2292
"c:\Users\Ryan\Documents\SpEd Packet Studio\src-tauri\src\lib.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 6, 42
"c:\Users\Ryan\Documents\SpEd Packet Studio\src-tauri\src\main.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\Ryan\Documents\SpEd Packet Studio\src-tauri\tauri.conf.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Ryan\Documents\SpEd Packet Studio\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 200, 0, 0, 8, 208
